API명,특수문자여부,특수문자개수
"‘난자치어(어란)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,4
"‘난자치어(어란)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,4
"‘난자치어(자치어)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,4
"‘난자치어(자치어)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,4
"‘난자치어범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘난자치어범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘대형저서동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘대형저서동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘동물플랑크톤범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘동물플랑크톤범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘물새범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘물새범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘미생물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘미생물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘수질/퇴적중금속범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,3
"‘수질/퇴적중금속범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,3
"‘수질CTD범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘수질CTD범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘수질정보범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘수질정보범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘식물플랑크톤범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘식물플랑크톤범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘식물플랑크톤엽록소a범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘식물플랑크톤엽록소a범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘염생식물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘염생식물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘유영동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘유영동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘자원생물(칠게)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,4
"‘자원생물(칠게)범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,4
"‘자원생물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘자원생물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘저서규조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘저서규조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘중형저서동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘중형저서동물범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘퇴적환경입도범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘퇴적환경입도범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"‘해조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그끝값
",Yes,2
"‘해조류범위검색세부항목선택’항목에서선택된항목에대해범위검색하며그시작값
",Yes,2
"""failor""""success""""""
",Yes,6
"공고규격서참조로고정되어있음
",No,0
"입찰공고로표기됨
",No,0
"""“월별”,”누계”,”전체”""
",Yes,10
"""“월별”,”누적”""
",Yes,7
"""(1:관광자원명,2:소개)""
",Yes,7
"""(1:업소명,2:전화번호,3:대표메뉴,4:상세정보)""
",Yes,11
"""(1:업소명,2:전화번호,3:상세정보)""
",Yes,9
"(a)공사-중앙:조달요청번호
",Yes,4
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2)""
",Yes,13
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2),(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)(c)용역,외자-중앙:계약번호(8)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)""
",Yes,47
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2)""
",Yes,22
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)""
",Yes,29
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)(c)용역,외자-중앙:계약번호(8)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)""
",Yes,46
"""(a)공사-중앙:조달요청번호,자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)(c)용역,외자-중앙:계약번호(8)+계약수정차수(2)자체:계약번호(11)+계약수정차수(2)""
",Yes,45
"(a)공사-중앙:조달요청번호자체:계약번호(11)+계약수정차수(2)
",Yes,10
"(a)공사-중앙:조달요청번호자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2)자체:계약번호(11)+계약수정차수(2)
",Yes,25
"""(a)공사,용역,외자-중앙:계약번호(8)+계약수정차수(2)""
",Yes,13
"""(a)공사,용역,외자-중앙:계약번호(8)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)""
",Yes,36
"""(a)공사,용역,외자-중앙:계약번호(8)+계약수정차수(2),자체:계약번호(11)+계약수정차수(b)물품-중앙:계약번호(9)+계약수정차수(2),자체:계약번호(11)+계약수정차수(2)""
",Yes,34
"""(a)공사,용역,외자-중앙:계약번호(8)+계약수정차수(2)자체:계약번호(11)+계약수정차수(2)(b)물품-중앙:계약번호(9)+계약수정차수(2)""
",Yes,28
"""(bed:침대,ondol:온돌)""
",Yes,7
"""(C0601:대덕구,C0602:동구,C0603:서구,C0604:유성구,""
",Yes,11
"""(C0601:대덕구,C0602:동구,C0603:서구,C0604:유성구,""
",Yes,11
"C0605:중구)
",Yes,2
"""(ex.신평:101,안평:414)""
",Yes,8
"""(I:초기,승인:Y,불가:N)""
",Yes,9
"(NULL)
",Yes,2
"(ug/m3)
",Yes,3
"""(Y:가능,N:불가)""
",Yes,7
"(Y:추천N:일반)
",Yes,4
"(Y:표출N:표출하지않음)
",Yes,4
"(구분자!로나뉨)왼쪽부터순서대로테이블에채워짐.
",Yes,4
"★아래설명참고
",Yes,1
"(단위:㎡)
",Yes,4
"(오전10시:1000)
",Yes,3
"(오후18시:1800)
",Yes,3
"(파일명과파일설명이구분자!로나뉨)
",Yes,3
"(파일명구분자!로나뉨)
",Yes,3
"""(포함:true,미포함:false)""
",Yes,7
"[가정신앙분야]
",Yes,2
"제의
",No,0
"신격
",No,0
"신체
",No,0
"제구
",No,0
"제물
",No,0
"자료
",No,0
"용어
",No,0
"[고속버스터미널목록조회]의터미널코드
",Yes,2
"[마을신앙분야]
",Yes,2
"제의
",No,0
"제의장소
",No,0
"신격
",No,0
"신체
",No,0
"제물
",No,0
"제구
",No,0
"자료
",No,0
"용어
",No,0
"[면허코드]면허명^[면허코드]면허명
",Yes,5
"[무속신앙분야]
",Yes,2
"무속제의
",No,0
"무신
",No,0
"무속신화
",No,0
"무악
",No,0
"무무
",No,0
"굿당
",No,0
"무복
",No,0
"무구
",No,0
"제물
",No,0
"무속문헌자료
",No,0
"무속인명
",No,0
"용어
",No,0
"[사전구분]
",Yes,2
"한국세시풍속사전
",No,0
"한국민속신앙사전
",No,0
"[세시풍속계절편명]
",Yes,2
"정월
",No,0
"봄
",No,0
"여름
",No,0
"겨울
",No,0
"가을
",No,0
"[세시풍속분야]
",Yes,2
"속신
",No,0
"복식
",No,0
"절기
",No,0
"구비전승
",No,0
"놀이
",No,0
"의례
",No,0
"절식
",No,0
"정일
",No,0
"생업
",No,0
"이칭
",No,0
"양력세시
",No,0
"[월영역명]
",Yes,2
"1월
",No,0
"2월
",No,0
"3월
",No,0
"4월
",No,0
"5월
",No,0
"6월
",No,0
"7월
",No,0
"8월
",No,0
"9월
",No,0
"10월
",No,0
"11월
",No,0
"12월
",No,0
"윤달
",No,0
"[지역코드]지역명^[지역코드]지역명
",Yes,5
"*공사유형
",Yes,1
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"#NAME?
",Yes,2
"*승차권종류는별첨2승차권종류참조
",Yes,1
"""*총액계약은계약목적물전체에대하여단가가아닌총액으로체결하는계약형태,*단가계약은수요빈도가많은품목에대하여단가에의해예정수량을명시하고체결하는계약형태,*제3자단가계약은각수요기관에서공통적으로필요로하는수요물자를계약시미리단가만을정하여계약을체결하고각수요기관에서직접납품요구하여구매하는계약형태""
",Yes,7
"#NAME?
",Yes,2
"‰
",Yes,1
"℃
",Yes,1
"|(pipe)구분자
",Yes,3
"""0-주의보,1-경보""
",Yes,5
"""0,40:통신미연결1~15:충전중16~32:고장/점검""
",Yes,9
"0:GOOD품질
",Yes,1
"0:N
",Yes,1
"0:N
",Yes,1
"1:Y
",Yes,1
"0:N1:Y
",Yes,2
"0:강수없음
",Yes,1
"1:비
",Yes,1
"2:비/눈
",Yes,2
"3:눈
",Yes,1
"0:경보없음/1:주의보
",Yes,3
"0:경보없음/1:주의보
",Yes,3
"/2:경보/3:중대경보
",Yes,4
"""0:광주,1:나주,2:담양,3:장성,4:화순""
",Yes,11
"0:대지1:산2:블록
",Yes,3
"0:미등재/1:등재
",Yes,3
"0:불명확
",Yes,1
"1:매우경미
",Yes,1
"2:경미
",Yes,1
"3:보통
",Yes,1
"4:심각
",Yes,1
"5:매우심각
",Yes,1
"""0:상행,1:하행""
",Yes,5
"""0:상행선,1:하행선""
",Yes,5
"""0:없음,1이상:존재함""
",Yes,5
"""0:연구과제,1:연구책임자""
",Yes,5
"0:예약가능
",Yes,1
"1:예약불가
",Yes,1
"0:원노선
",Yes,1
"1-8:지원노선
",Yes,2
"0:일반
",Yes,1
"""0:일반,1:곧도착""
",Yes,5
"""0:일반,1:저상""
",Yes,5
"""0:일반,1:회차지""
",Yes,5
"0:일반1:대표
",Yes,2
"0:전체
",Yes,1
"1:수의계약
",Yes,1
"""0:전체,1:구분,2:제목,3:출처""
",Yes,9
"""0:전체,1:산재,3:고용""
",Yes,7
"""0:전체,1:정정공고,2:취소공고""
",Yes,7
"""0:정보없음,1:소통원활,2:지체,3:정체""
",Yes,9
"""0:정보없음,1:소형승합차,2:중형승합차,3:대형승합차,4:2층버스""
",Yes,11
"0:평일
",Yes,1
"1:토요일
",Yes,1
"""2:주말,공휴일""
",Yes,4
"3:방학(평일)
",Yes,3
"4:방학(토요일)
",Yes,3
"5:방학(일요일)
",Yes,3
"0:평일
",Yes,1
"1:휴일
",Yes,1
"""0:평일,1:휴일""
",Yes,5
"""0:한방,1:양방,2:양방영문""
",Yes,7
"0:화합물명칭
",Yes,1
"1:CAS번호
",Yes,1
"0.04
",Yes,1
"""0.신규,1.변경""
",Yes,5
"0.점유
",Yes,1
"1.비점유
",Yes,1
"""0(상수도업종별요금),""
",Yes,5
"""1(하수도업종별요금),""
",Yes,5
"2(지하수업종별요금)
",Yes,2
"0=>공연
",Yes,2
"1=>전시회
",Yes,2
"2=>캠페인
",Yes,2
"3=>의료활동
",Yes,2
"4=>기타
",Yes,2
"0~30㎥/일미만(개소수)
",Yes,5
"0~30㎥/일미만(이용량)
",Yes,5
"00:성공
",Yes,1
"""00:원시시대,01:선사시대,03:석기시대,05:청동시대,07:철기시대,09:삼한시대,10:삼국시대,11:고구려,12:백제,13:신라,14:가야,15:발해,20:통일신라,30:고려시대,40:조선시대,45:대한제국시대,50:일제강점기,60:기타,90:시대미상""
",Yes,39
"00:정상
",Yes,1
"00:직접입찰
",Yes,1
"01:전자입찰
",Yes,1
"""000:성공,""
",Yes,4
"001:실패
",Yes,1
"0001매각0002임대(대부)
",Yes,2
"001:노인시설
",Yes,1
"001:농산물(일반)
",Yes,3
"002:농산물(냉동/냉장)
",Yes,4
"003:수산물(일반)
",Yes,3
"004:수산물(냉동/냉장)
",Yes,4
"005:축산물(일반)
",Yes,3
"006:축산물(냉동/냉장)
",Yes,4
"007:전자제품
",Yes,1
"008:서적
",Yes,1
"009:음반/비디오/악기
",Yes,3
"010:아동/유아용품
",Yes,2
"011:의료/건강식품
",Yes,2
"012:꽃
",Yes,1
"013:스포츠/레저용품
",Yes,2
"014:생활/자동차용품
",Yes,2
"015:의류/패션상품
",Yes,2
"016:미용/화장품
",Yes,2
"017:사무/문구
",Yes,2
"018:기타
",Yes,1
"001:육계
",Yes,1
"100:돼지
",Yes,1
"101:돼지(박피)암
",Yes,3
"102:돼지(박피)수
",Yes,3
"103:돼지(박피)거세
",Yes,3
"110:돼지20kg
",Yes,1
"120:돼지100kg
",Yes,1
"130:돼지2개월미만
",Yes,1
"140:돼지2-4개월
",Yes,2
"150:돼지4-6개월
",Yes,2
"161:돼지6-8개월-암
",Yes,3
"162:돼지6-8개월-수
",Yes,3
"171:돼지8개월이상-암
",Yes,2
"172:돼지8개월이상-수
",Yes,2
"191:돼지(탕박)암
",Yes,3
"192:돼지(탕박)수
",Yes,3
"193:돼지(탕박)거세
",Yes,3
"20
",No,0
"0010경부선
",No,0
"0100남해선
",No,0
"0101남해선(영암-순천)
",Yes,3
"012088올림픽선
",No,0
"0121무안광주선
",No,0
"0140고창담양선
",No,0
"0150서해안선
",No,0
"0153평택시흥선
",No,0
"0160울산선
",No,0
"0170평택화성선
",No,0
"0200대구포항선
",No,0
"0201익산장수선
",No,0
"0251호남선
",No,0
"0252천안논산선
",No,0
"0270순천완주선
",No,0
"0300청원상주선
",No,0
"0301당진대전선
",No,0
"0351중부선(대전통영)
",Yes,2
"0352중부선
",No,0
"0370제2중부선
",No,0
"0400평택제천선
",No,0
"0450중부내륙선
",No,0
"0500영동선
",No,0
"550
",No,0
"0010경부선
",No,0
"0100남해선
",No,0
"0101남해선(영암-순천)
",Yes,3
"012088올림픽선
",No,0
"0121무안광주선
",No,0
"0140고창담양선
",No,0
"0150서해안선
",No,0
"0153평택시흥선
",No,0
"0160울산선
",No,0
"0170평택화성선
",No,0
"0200대구포항선
",No,0
"0201익산장수선
",No,0
"0251호남선
",No,0
"0252천안논산선
",No,0
"0270순천완주선
",No,0
"0300청주상주선
",No,0
"0301당진대전선
",No,0
"0351중부선(대전통영)
",Yes,2
"0352중부선
",No,0
"0370제2중부선
",No,0
"0400평택제천선
",No,0
"0450중부내륙선
",No,0
"0500영동선
",No,0
"550
",No,0
"0010경부선
",No,0
"0100남해선(순천부산)
",Yes,2
"0101남해선(영암순천)
",Yes,2
"012088올림픽선
",No,0
"0121무안광주선
",No,0
"0140고창담양선
",No,0
"0150서해안선
",No,0
"0160울산선
",No,0
"0170평택화성선
",No,0
"0205익산장수선
",No,0
"0207대구포항선
",No,0
"""0250논산천안선,호남선""
",Yes,3
"0270순천완주선
",No,0
"0300청주상주선
",No,0
"0305당진대전선
",No,0
"""0350중부선,통영대전선""
",Yes,3
"0370제2중부선
",No,0
"0400평택제천선
",No,0
"0450중부내륙선
",No,0
"0500영동선
",No,0
"0550중앙선
",No,0
"0600서울양양
",No,0
"0650동
",No,0
"001경부선
",No,0
"002경부선지선
",No,0
"010남해선A
",No,0
"011남해선B
",No,0
"01288올림픽선
",No,0
"014고창-담양선
",Yes,1
"015서해안선
",No,0
"016울산선
",No,0
"017평택화성선
",No,0
"020대구-포항선
",Yes,1
"025호남선A
",No,0
"026호남선AA
",No,0
"027호남선지선
",No,0
"028호남선B
",No,0
"030당진상주선
",No,0
"035중부선-대전통영선A
",Yes,1
"036중부선-대전통영선B
",Yes,1
"037제2중부선
",No,0
"040평택-음성선
",Yes,1
"041평택-음성지선
",Yes,1
"045중부내륙선
",No,0
"046중부내륙선B
",No,0
"047중부내륙선C
",No,0
"050영동선
",No,0
"051영동선(
",Yes,1
"""003.*,004.*,005.*,006.*,007.*,008.*,009.*,01*,02*:ComputerScience&Information""
",Yes,28
"""000.*001.*002.*,03*,04*,05*,06*,07*,08*,09*:Generalworks""
",Yes,23
"""10*,11*,12*,13*,14*,16*,17*,18*,19*:Philosophy""
",Yes,20
"15*:Psychology
",Yes,2
"2**:Religion
",Yes,3
"""30*,""
",Yes,4
"01-고창군
",Yes,1
"02-군산시
",Yes,1
"03-김제시
",Yes,1
"04-남원시
",Yes,1
"05-무주군
",Yes,1
"06-부안군
",Yes,1
"07-순창군
",Yes,1
"08-완주군
",Yes,1
"09-익산시
",Yes,1
"10-임실군
",Yes,1
"11-장수군
",Yes,1
"12-전주시
",Yes,1
"13-진안군
",Yes,1
"14-진안군
",Yes,1
"01-산/자연
",Yes,2
"02-박물관/미술관
",Yes,2
"03-문화관광시설
",Yes,1
"04-문화재
",Yes,1
"05-공원/체육시설
",Yes,2
"06-바다/강/하천
",Yes,3
"07-유적지
",Yes,1
"08-영화/드라마
",Yes,2
"09-시장
",Yes,1
"10-특산품/관광상품
",Yes,2
"11-거시기장터
",Yes,1
"01-호텔
",Yes,1
"02-굿스테이
",Yes,1
"03-리조트/콘도
",Yes,2
"04-모텔
",Yes,1
"05-팬션/민박
",Yes,2
"06-유스호스텔/수련원
",Yes,2
"07-한옥
",Yes,1
"01:2kg
",Yes,1
"02:5kg
",Yes,1
"03:10kg
",Yes,1
"04:20kg
",Yes,1
"05:30kg
",Yes,1
"01:60cm
",Yes,1
"02:80cm
",Yes,1
"03:120cm
",Yes,1
"04:140cm
",Yes,1
"05:160cm
",Yes,1
"01:소통원활
",Yes,1
"02:서행
",Yes,1
"03:정체
",Yes,1
"01:소통원활
",Yes,1
"02:서행
",Yes,1
"03:지체/혼잡
",Yes,2
"01:조달청
",Yes,1
"02:K-APT
",Yes,2
"03:KG2B전자입찰
",Yes,1
"04:아파트비드포유
",Yes,1
"01:최저(고)낙찰
",Yes,3
"02:적격심사
",Yes,1
"01:추가경정예산
",Yes,1
"10:일반예산
",Yes,1
"A1:일반예산
",Yes,1
"B1:국고채무부담
",Yes,1
"C1:사고이월
",Yes,1
"U0:세입/세출외현금
",Yes,2
"U1:계속소요비
",Yes,1
"011종승용차
",No,0
"022종버스
",No,0
"033종소형화물차
",No,0
"044종소형화물차
",No,0
"055종중형화물차
",No,0
"066종중형화물차
",No,0
"077종중형화물차
",No,0
"088종대형화물차
",No,0
"099종대형화물차
",No,0
"1010종대형화물차
",No,0
"1111종대형화물차
",No,0
"1212종대형화물차
",No,0
"13미분류미분류
",No,0
"01시청
",No,0
"02연기면
",No,0
"03연동면
",No,0
"04부강면
",No,0
"05금남면
",No,0
"06장군면
",No,0
"07연서면
",No,0
"08전의면
",No,0
"09전동면
",No,0
"10소정면
",No,0
"11한솔동
",No,0
"12도담동
",No,0
"13조치원
",No,0
"023001소
",No,0
"023001돼지
",No,0
"023002돼지
",No,0
"0232=세종시지역코드입니다.
",Yes,2
"024001한우
",No,0
"024001젖소
",No,0
"024001육우
",No,0
"024001교잡우
",No,0
"0290011++A
",Yes,2
"0290021++B
",Yes,2
"0290031++C
",Yes,2
"0290041+A
",Yes,1
"0290051+B
",Yes,1
"0290061+C
",Yes,1
"0290071A
",No,0
"0290081B
",No,0
"0290091C
",No,0
"0290102A
",No,0
"0290112B
",No,0
"0290122C
",No,0
"0290133A
",No,0
"0290143B
",No,0
"0290153C
",No,0
"029016등외
",No,0
"0290171++
",Yes,2
"0290181+
",Yes,1
"290191
",No,0
"290202
",No,0
"290213
",No,0
"029030A
",No,0
"029031B
",No,0
"029032C
",No,0
"029033D
",No,0
"2
",No,0
"""05:석탄,원유및천연가스광업,06:금속광업,10:식료품제조업,11:음료제조업,12:담배제조업,13:섬유제품제조업;의복제외,14:의복,의복액세서리및모피제품제조업,15:가죽,가방및신발제조업,16:목재및나무제품제조업;가구제외,17:펄프,종이및종이제품제조업,18:인쇄및기록매체복제업,19:코크스,연탄및석유정제품제조업,20:화학물질및화학""
",Yes,34
"05시~06시승하차인원수
",Yes,1
"05시발표*하단참고자료참조
",Yes,1
"06시~07시승하차인원수
",Yes,1
"06시30분발표(30분단위)-매시각45분이후호출
",Yes,3
"06시발표(정시단위)-매시각40분이후호출
",Yes,3
"07시~08시승하차인원수
",Yes,1
"08시~09시승하차인원수
",Yes,1
"09시~10시승하차인원수
",Yes,1
"0세보육료
",No,0
"0세입소대기자수
",No,0
"0시이후승하차인원수
",No,0
"0이면단일노선1이면환승노선
",No,0
"""0이면성공,1이상이면실패""
",Yes,3
"0전체
",No,0
"1일반차로
",No,0
"2버스차로
",No,0
"3합류차로
",No,0
"4갓길차로
",No,0
"5램프차로
",No,0
"6버스전용차로구간일반차로
",No,0
"1
",No,0
"""1-강풍,2-호우,""
",Yes,6
"""3-한파,4-건조,""
",Yes,6
"""5-해일,6-풍랑,""
",Yes,6
"""7-태풍,8-대설,""
",Yes,6
"9-황사
",Yes,1
"""1-발표,""
",Yes,4
"""2-해제,""
",Yes,4
"""3-연장,""
",Yes,4
"""4-대치에의한해제,""
",Yes,4
"""5-대치에의한발표,""
",Yes,4
"6-정정
",Yes,1
"""1,1,1-트리클로로에탄(mg/L)""
",Yes,8
"""1,1디클로로에틸렌(mg/L)""
",Yes,6
"""1,2-Dichloroethane(mg/L)""
",Yes,7
"""1,2-디브로모-3-클로로프로판(mg/L)""
",Yes,9
"""1,2-디브로모-3-클로로프로판(mg/ℓ)""
",Yes,10
"""1,4-다이옥산(mg/L)""
",Yes,7
"""1,4-다이옥산(mg/ℓ)""
",Yes,8
"""1,5,7,9중택1""
",Yes,5
"""1,6,9중택1""
",Yes,4
"1:(-)
",Yes,4
"2:후
",Yes,1
"""1:3단상병,2:4단상병""
",Yes,5
"1:9경(볼거리)
",Yes,3
"2:9미(먹거리)
",Yes,3
"3:9품(살거리)
",Yes,3
"4:9길(걷고싶은길)
",Yes,3
"1:B타입(5핀)2:C타입(5핀)3:BC타입(5핀)4:BC타입(7핀)5:DC차데모6:AC3상7:DC콤보8:DC차데모+DC콤보9:DC차데모+AC3상10:DC차데모+DC콤보+AC3상
",Yes,22
"""1:GAP인증,""
",Yes,4
"""2:친환경인증,""
",Yes,4
"3:지리적표시제
",Yes,1
"""1:가능,그외:''""
",Yes,7
"1:가능/0:불가
",Yes,3
"""1:개,2:고양이,3:기타동물""
",Yes,7
"1:고장/2:사고
",Yes,3
"""1:공고중,2:입양가능,3:입양예정,4:입양완료,7:주인반환""
",Yes,11
"1:공사
",Yes,1
"2:용역
",Yes,1
"3:물품
",Yes,1
"""1:공사,2:용역,3:물품""
",Yes,7
"1:공연/0:공연외
",Yes,3
"1:국내지진정보
",Yes,1
"2:국외지진정보
",Yes,1
"3:국내지진통보
",Yes,1
"4:국외지진통보
",Yes,1
"5:지진정밀분석
",Yes,1
"1:국보
",Yes,1
"2:사적
",Yes,1
"3:중요민속자료
",Yes,1
"4:사적몇명승
",Yes,1
"5:명승
",Yes,1
"6:보물
",Yes,1
"7:중요무형문화재
",Yes,1
"8:천연기념물
",Yes,1
"1:급행간선2:간선
",Yes,2
"""3:지,4:마을버스""
",Yes,5
"5:공항버스
",Yes,1
"""1:년도,주입력,2.:년월,주입력""
",Yes,8
"1:노선
",Yes,1
"2:환승노선
",Yes,1
"1:농축수산물가
",Yes,1
"2:공산품요금가
",Yes,1
"3:개인서비스요금가
",Yes,1
"4:공공요금가
",Yes,1
"1:단순품질보증형(I형)
",Yes,3
"2:선택품질보증형(Ⅱ형)
",Yes,4
"3:표준품질보증형(Ⅲ형)
",Yes,4
"4:체계품질보증형(Ⅳ형)
",Yes,4
"5:5형(특수검사)
",Yes,3
"6:소요군검사
",Yes,1
"7:소요군검수
",Yes,1
"8:연구개발
",Yes,1
