필드명	행정표준용어	매칭결과
고성	가속	#N/A
성남	가속도	#N/A
양양공항	가수	#N/A
도라산	가스	#N/A
무안공항	가스공급시설	#N/A
국적Nationality	가스도매사업	#N/A
성별	가스사용시설	6421
합계	가스상물질류	13350
단기상용	가스설비	#N/A
단기종합	가스용품제조사업자	#N/A
단기취업	가스전	#N/A
문화예술	가스플랜트	4305
유학	가슴	8953
산업연수	가시광선	#N/A
일반연수	가시선	#N/A
취재	가시채널	12241
종교	가압	10871
주재	가압류	#N/A
기업투자	가액	#N/A
무역경영	가연성	#N/A
교수	가연성가스	1983
회화	가연성가스저온저장탱크	13971
연구	가열	7991
기술지도	가열응착	#N/A
전문직업	가열탈착	#N/A
예술흥행	가옥	#N/A
특정활동	가용	#N/A
비전문취업	가을	#N/A
선원취업	가입	#N/A
방문동거	가입금	#N/A
거주	가입비	670
동반	가입수수료	3683
재외동포	가입신청	9993
방문취업	가입유형	#N/A
국적	가입일	2267
성별	가입일자	6421
합계	가입자	13350
협정	가입자내부식별자	13686
단기상용	가입자선로	#N/A
단기종합	가입제한	#N/A
일반연수	가입해지	#N/A
취재	가전	12241
방문동거	가전제품	#N/A
거주	가점	670
재외동포	가접수	9993
기타	가정	2754
방문취업	가정	#N/A
공항별	가정구성원	#N/A
공항별	가정보호사건	#N/A
항공기수	가정의례	#N/A
승무원수	가정폭력	#N/A
입항항공기수	가정폭력범죄	#N/A
입항승무원수	가정폭력행위자	#N/A
출항항공기수	가족	#N/A
출항승무원수	가족계획사업	#N/A
국적	가족법	2267
국적	가족어선원	2267
선박계	가족제도	#N/A
선원계	가종료	#N/A
입항선박수	가중	#N/A
입항선원수	가중처벌	#N/A
출항선박수	가중치	#N/A
출항선원수	가중평균	#N/A
국적	가집행	2267
국적	가집행선고	2267
항공기수	가처분	#N/A
승무원수	가축	#N/A
입항항공기수	가축분뇨	#N/A
입항승무원수	가축전염병	#N/A
출항항공기수	가축통계조사	#N/A
출항승무원수	가출	#N/A
국적Nationality	가출소	#N/A
성별	가출인	6421
합계	가치	13350
단기상용	가치관	#N/A
단기종합	가치혁신	#N/A
단기취업	가택수색	#N/A
문화예술	가트	4305
유학	가해	8953
산업연수	가해자	#N/A
일반연수	가해학생	#N/A
취재	가행광산	12241
종교	가혹행위	10871
주재	가환부	#N/A
기업투자	각급	#N/A
무역경영	각급기관	#N/A
교수	각급학교	1983
회화	각도	13971
연구	각령	7991
기술지도	각료	#N/A
전문직업	각목	#N/A
예술흥행	각종	#N/A
특정활동	각주	#N/A
비전문취업	각하	#N/A
선원취업	각형	#N/A
방문동거	각호	#N/A
거주	간	670
동반	간격	3683
재외동포	간담회	9993
결혼이민	간부	#N/A
기타	간사	2754
방문취업	간석지	#N/A
국적Nationality	간선	#N/A
성별	간선급행버스체계	6421
합계	간소화	13350
공무	간염	1444
일시취재	간음	#N/A
단기상용	간이	#N/A
단기종합	간이공판절차	#N/A
문화예술	간이법원	4305
유학	간이상수도	8953
일반연수	간이인도	#N/A
취재	간장	12241
방문동거	간접	#N/A
거주	간접교사	670
동반	간접비	3683
재외동포	간접세	9993
결혼이민	간접책임	#N/A
방문취업	간주	#N/A
국적Nationality	간질	#N/A
성별Sex	간척	#N/A
합계Total	간척지	#N/A
0~4세Years	간첩	#N/A
5~9세	간통죄	#N/A
10~14세	간판	#N/A
15~19세	간행	#N/A
20~24세	간행물	#N/A
25~29세	간호	#N/A
30~34세	간호사	#N/A
35~39세	간호사무관	#N/A
40~44세	간호조무사	#N/A
45~49세	갈등	#N/A
50~54세	갈수	#N/A
55~59세	갈음	#N/A
60세 이상Years & over	감가	#N/A
월 month	감가비	#N/A
성별	감가상각	6421
합계	감가수정	13350
1월	감각	8
2월	감귤	16
3월	감나무	23
4월	감독	29
5월	감독자	31
6월	감동	34
7월	감량	37
8월	감량화	39
9월	감리	41
10월	감리관리	2
11월	감리원	4
12월	감리자	5
국적	감리제도	2267
성별	감면	6421
소계	감배	6561
외교	감봉	8345
공무	감사	1444
협정	감사관	13686
사증면제	감사기관	#N/A
관광통과	감사원	#N/A
일시취재	감사인	#N/A
단기상용	감사자	#N/A
단기방문	감사책임자	#N/A
단기취업	감산	#N/A
문화예술	감소	4305
유학	감소수량	8953
산업연수	감소액	#N/A
일반연수	감속	#N/A
취재	감손	12241
종교	감쇄	10871
주재	감수	#N/A
기업투자	감시	#N/A
무역경영	감시권	#N/A
구직	감시용	2137
교수	감시원	1983
회화	감식	13971
연구	감압	7991
기술지도	감압설비	#N/A
전문직업	감액	#N/A
예술흥행	감염	#N/A
특정활동	감염병	#N/A
비전문취업	감염성	#N/A
선원취업	감염성폐기물	#N/A
방문동거	감염증	#N/A
거주	감원	670
동반	감자	3683
재외동포	감자차액	9993
영주	감점	8161
결혼이민	감정	#N/A
기타	감정가	2754
관광취업	감정가격	#N/A
방문취업	감정사	#N/A
국   적Nationality	감정원	#N/A
성별Sex	감정인	#N/A
합계Total	감정증인	#N/A
1일	감정평가	#N/A
2일	감정평가사	#N/A
3일	감정평가업	#N/A
4일	감정평가업자	#N/A
5일	감정허가장	#N/A
6~10일	감지	#N/A
11~20일	감지기	#N/A
1개월 이하	감차	#N/A
2개월 이하	감찰	#N/A
3개월 이하	감찰관	#N/A
6월 이하	감청	#N/A
1년 이하	감청설비	#N/A
2년 이하	감축	#N/A
3년 이하	감항능력	#N/A
5년 이하	감항성	#N/A
10년 이하	감항증명	#N/A
10년 초과	감형	#N/A
항구	감호	13397
항구	갑근세	13397
합계	갑문	13350
승무원상륙	갑종근로소득세	#N/A
긴급상륙	갑종사태	#N/A
재난상륙	갑판상부적재	#N/A
상륙허가자출국	갑판하부적재	#N/A
공항별	값	#N/A
공항별	값영역	#N/A
항공기계	갓길	#N/A
승무원계	강간	#N/A
입항항공기수	강구	#N/A
입항승무원수	강도	#N/A
출항항공기수	강도	#N/A
출항승무원수	강력범죄	#N/A
국적	강령	2267
국적	강매	2267
선박계	강사	#N/A
선원계	강서	#N/A
입항선박수	강수	#N/A
입항선원수	강습	#N/A
출항선박수	강연	#N/A
출항선원수	강요	#N/A
국적	강우	2267
국적	강우계	2267
항공기계	강우유출수	#N/A
승무원계	강원	#N/A
입항항공기수	강원도	#N/A
입항승무원수	강원도강릉시	#N/A
출항항공기수	강원도고성군	#N/A
출항승무원수	강원도동해시	#N/A
국적	강원도삼척시	2267
성별	강원도속초시	6421
합계	강원도양구군	13350
인천공항	강원도양양군	#N/A
부산	강원도영월군	5237
인천	강원도원주시	9359
김해	강원도인제군	#N/A
제주	강원도정선군	10723
대구	강원도철원군	3324
여수	강원도춘천시	#N/A
광주	강원도태백시	1936
청주	강원도평창군	#N/A
김포공항	강원도홍천군	#N/A
울산	강원도화천군	8590
감천	강원도횡성군	#N/A
평택	강의	#N/A
오산	강의실	#N/A
포항	강임	#N/A
광양	강전류전선	#N/A
목포	강제	#N/A
통영	강제경매	#N/A
사천	강제보험	#N/A
거제	강제징수	#N/A
군산	강제처분	#N/A
동해	강제투표	#N/A
속초	강행법	#N/A
성남	강화	#N/A
양양공항	개간	#N/A
도라산	개관	#N/A
무안공항	개념	#N/A
창원	개도국	#N/A
서산	개략	#N/A
국적	개량	2267
성별	개명	6421
합계	개문	13350
외교	개발	8345
공무	개발도상국	1444
단기방문	개발도상국가	#N/A
단기취업	개발밀도관리구역	#N/A
유학	개발부담금	8953
일반연수	개발사업	#N/A
취재	개발이익	12241
방문동거	개발자	#N/A
거주	개방	670
재외동포	개방형	9993
결혼이민	개방형직위	#N/A
국적Nationality	개방화장실	#N/A
성별Sex	개별	#N/A
합계Total	개별가구소득평가액	#N/A
0~4세Years	개별공시지가	#N/A
5~9세	개별납부서	#N/A
10~14세	개별법	#N/A
15~19세	개별연구개발사업	#N/A
20~24세	개보수	#N/A
25~29세	개산가격	#N/A
30~34세	개산원가	#N/A
35~39세	개서	#N/A
40~44세	개선	#N/A
45~49세	개설	#N/A
50~54세	개설의뢰인	#N/A
55~59세	개설일	#N/A
60~64세	개설자	#N/A
65~69세	개성공단	#N/A
70~74세	개수	#N/A
75~79세	개수	#N/A
80세 이상Years & over	개시	#N/A
월 month	개시전	#N/A
성별	개업	6421
합계	개연성	13350
1월	개요	8
2월	개월	16
3월	개인	23
4월	개인과외교습자	29
5월	개인발명가	31
6월	개인부담금	34
7월	개인식별번호	37
8월	개인용컴퓨터	39
9월	개인위치정보	41
10월	개인위치정보주체	2
11월	개인정보	4
12월	개인정보화일	5
국적Nationality	개인퇴직계좌	#N/A
성별Sex	개인화기	#N/A
합계Total	개임	#N/A
1일	개입	#N/A
2일	개입권	#N/A
3일	개입의무	#N/A
4일	개작	#N/A
5일	개장	#N/A
6~10일	개장	#N/A
11~20일	개전	#N/A
1개월 이하	개정	#N/A
2개월 이하	개정안	#N/A
3개월 이하	개조	#N/A
6월 이하	개찰	#N/A
1년 이하	개척	#N/A
2년 이하	개천	#N/A
3년 이하	개청	#N/A
5년 이하	개청시간	#N/A
10년 이하	개체	#N/A
10년 초과	개체군	#N/A
항구	개최	13397
항구	개최국가	13397
합계	개최시설	13350
승무원상륙	개최시설상세정보	#N/A
긴급상륙	개최지역	#N/A
재난상륙	개최회담	#N/A
상륙허가자출국	개축	#N/A
시행일 Operation                                               구     분                                        Classification 열차종별  Train	개칭	#N/A
2012. 3. 1	개통	#N/A
2012. 9. 1	개통	#N/A
2012. 12. 31	개통자	#N/A
MBB1)	개통지연	#N/A
발행일	개통희망일	#N/A
발행금액	개편	#N/A
가중평균발행금리(%)	개폐	#N/A
발행통화	개폐소	#N/A
MBS1)	개표	#N/A
발행일	개표구	#N/A
트랜치	개품운송계약	#N/A
발행금액	개항	#N/A
연·월말 MBS 잔액	개항장	#N/A
가중평균발행금리(%)	개혁	#N/A
SLBS1)	개회	#N/A
발행일자	객관	#N/A
트랜치	객관식	#N/A
발행금액	객실	#N/A
연·월말 잔액	객원교수	#N/A
가중평균 발행금리(%)	객차	#N/A
연월중1)	객체	#N/A
합계Total	갯벌	#N/A
LTV2) 35% 이하	갯수	#N/A
35%초과 ~ 40%이하	갱생	#N/A
40%초과 ~ 45%이하	갱신	#N/A
45%초과 ~ 50%이하	갱신자	#N/A
50%초과 ~ 55%이하	갱입	#N/A
55%초과 ~ 60%이하	갱출	#N/A
60%초과 ~ 65%이하	거대선	#N/A
65%초과	거래	#N/A
연월중	거래가	#N/A
대출금액	거래가격	#N/A
대출잔액	거래건수	#N/A
연월말	거래금액	#N/A
판매금액1)	거래사례비교법	#N/A
누적잔액2)	거래세	#N/A
적용금리3)	거래소	#N/A
금리적용기준일	거래수량	#N/A
연월말	거래일	#N/A
기본재산	거래자	2637
보증승낙	거래전	#N/A
보증해지	거래조건	#N/A
보증잔액	거래처	#N/A
연월중	거래형태	#N/A
합계	거래후	13350
종신형2)	거리	#N/A
혼합형3)	거목	#N/A
분기말	거버넌스	#N/A
전국	거부	10168
서울	거부권	6181
부산	거북	5237
대구	거소	3324
인천	거소지정권	9359
광주	거시	1936
대전	거절	3443
울산	거절자	8590
경기	거절증서	906
강원	거점	498
충북	거주	12178
충남	거주성	12173
전북	거주자	10284
전남	거주지	10195
경북	거짓	971
경남	거처	943
제주	거치	10723
분기말	거치관세율	#N/A
국적Nationality	거치금액	#N/A
성별	거치기간	6421
합계	거치담보	13350
외교	거치보험	8345
공무	건강	1444
사증면제	건강가정	#N/A
관광통과	건강가정사	#N/A
일시취재	건강가정사업	#N/A
단기방문	건강검사	#N/A
단기취업	건강기능식품	#N/A
문화예술	건강보험	4305
유학	건국	8953
기술연수	건국훈장	#N/A
일반연수	건널목	#N/A
취재	건당	12241
종교	건립	10871
주재	건물	#N/A
기업투자	건물군	#N/A
무역경영	건물대지	#N/A
구직	건물동	2137
교수	건물번호	1983
회화	건물유형	13971
연구	건물주	7991
기술지도	건물호	#N/A
전문직업	건별	#N/A
예술흥행	건설	#N/A
특정활동	건설공사	#N/A
비전문취업	건설공사지원통합정보체계	#N/A
선원취업	건설교통부	#N/A
방문동거	건설근로자	#N/A
거주	건설기계	670
동반	건설기계관리법	3683
재외동포	건설기계저당법	9993
영주	건설기술	8161
결혼이민	건설기술용역	#N/A
기타	건설기술자	2754
관광취업	건설사업관리	#N/A
방문취업	건설산업	#N/A
관광상륙	건설업	#N/A
기타	건설업월평균임금	2754
국적	건설업자	2267
국적	건설용역업	2267
항공기계	건설위탁	#N/A
승무원계	건설이자	#N/A
입항항공기수	건설임대주택	#N/A
입항승무원수	건설폐기물	#N/A
출항항공기수	건설폐기물처리시설	#N/A
출항승무원수	건설폐기물처리업	#N/A
국적Nationality	건수	#N/A
성별	건식	6421
합계	건의	13350
공무	건의성민원	1444
단기방문	건의안	#N/A
단기취업	건전	#N/A
문화예술	건전성	4305
유학	건전지	8953
기술연수	건제	#N/A
일반연수	건조	#N/A
취재	건조물	12241
종교	건조자	10871
주재	건축	#N/A
기업투자	건축물	#N/A
무역경영	건축사	#N/A
교수	건축주	1983
회화	건평	13971
연구	건폐	7991
기술지도	건폐율	#N/A
전문직업	검거	#N/A
예술흥행	검댕	#N/A
특정활동	검량사	#N/A
비전문취업	검문	#N/A
선원취업	검문소	#N/A
방문동거	검사	#N/A
동반	검사	3683
재외동포	검사관	9993
결혼이민	검사기준일	#N/A
기타	검사대	2754
방문취업	검사대상자	#N/A
국적	검사방법	2267
성별	검사소	6421
합계	검사수수료	13350
0~4세	검사인	#N/A
5~9세	검사입회	#N/A
10~14세	검사자	#N/A
15~19세	검사주무	#N/A
20~24세	검사증	#N/A
25~29세	검사지정관	#N/A
30~34세	검사직원	#N/A
35~39세	검사필	#N/A
40~44세	검색	#N/A
45~49세	검색기법	#N/A
50~54세	검색어	#N/A
55~59세	검수	#N/A
60~64세	검수사	#N/A
65~69세	검수업	#N/A
70~74세	검시	#N/A
75~79세	검안	#N/A
80세 이상	검역	#N/A
국적	검역대상물품	2267
성별	검역소	6421
합계	검역시행장	13350
외교	검역안내	8345
공무	검역원	1444
사증면제	검역증	#N/A
관광통과	검역필	#N/A
일시취재	검역항	#N/A
단기방문	검열	#N/A
단기취업	검인	#N/A
문화예술	검정	4305
유학	검정검량	8953
기술연수	검정고시	#N/A
일반연수	검정도서	#N/A
취재	검정인	12241
종교	검조소	10871
주재	검증	#N/A
기업투자	검증자	#N/A
무역경영	검진	#N/A
구직	검찰	2137
교수	검찰공무원	1983
회화	검찰청	13971
연구	검출	7991
기술지도	검측감리	#N/A
전문직업	검침	#N/A
예술흥행	검토	#N/A
특정활동	검토자	#N/A
비전문취업	게시	#N/A
선원취업	게시글	#N/A
방문동거	게시물	#N/A
거주	게시시설	670
동반	게시자	3683
재외동포	게시판	9993
영주	게양	8161
결혼이민	게이트볼	#N/A
기타	게이트웨이	2754
관광취업	게이트키퍼	#N/A
방문취업	게임	#N/A
관광상륙	게임물	#N/A
기타	게임제공업	2754
국적Nationality	게재	#N/A
성별Sex	겨울	#N/A
합계Total	격납고	#N/A
1일	격려	#N/A
2일	격리	#N/A
3일	격리재배	#N/A
4일	격벽	#N/A
5일	격월	#N/A
6~10일	격차	#N/A
11~20일	견련	#N/A
1개월 이하	견본검사	#N/A
2개월 이하	견본품	#N/A
3개월 이하	견습	#N/A
6월 이하	견인	#N/A
1년 이하	견적	#N/A
2년 이하	견적가격	#N/A
3년 이하	견적서	#N/A
5년 이하	견적송장	#N/A
10년 이하	견책	#N/A
10년 초과	견품반출	#N/A
국   적	견학	#N/A
국   적	결격사유	#N/A
합계	결과	13350
강제퇴거	결근	#N/A
출국명령	결론	#N/A
출국권고	결말판결	#N/A
통고처분 소계	결박	#N/A
통고처분 체류	결번	#N/A
통고처분 출국	결부	#N/A
통고처분 기타	결산	#N/A
통고처분 금액(천)	결산금액	#N/A
처분면제 소계	결산기	#N/A
처분면제 체류	결산보고서	#N/A
처분면제 출국	결석	#N/A
처분면제 기타	결석판결	#N/A
과태료 소계	결선투표	#N/A
과테료 체류	결성	#N/A
과태료 출국	결손	#N/A
과태료 기타	결손금	#N/A
과태료 금액(천)	결손처분	#N/A
고발	결약서	1216
경고	결여	900
MBB1)	결연	#N/A
발행일	결원	#N/A
발행금액	결의	#N/A
가중평균발행금리(%)	결의서	#N/A
발행통화	결재	#N/A
MBS1)	결재권자	#N/A
발행일	결재자	#N/A
트랜치	결정	#N/A
발행금액	결정규범	#N/A
연·월말 MBS 잔액	결정례	#N/A
가중평균발행금리(%)	결정서	#N/A
SLBS1)	결정요소	#N/A
발행일자	결제	#N/A
트랜치	결제가격	#N/A
발행금액	결제수량	#N/A
연·월말 잔액	결제수수료	#N/A
가중평균 발행금리(%)	결제은행	#N/A
연월중1)	결제일	#N/A
합계Total	결제자	#N/A
LTV2) 35% 이하	결제조건	#N/A
35%초과 ~ 40%이하	결제통화	#N/A
40%초과 ~ 45%이하	결집	#N/A
45%초과 ~ 50%이하	결탁소송	#N/A
50%초과 ~ 55%이하	결함	#N/A
55%초과 ~ 60%이하	결합	#N/A
60%초과 ~ 65%이하	결합범	#N/A
65%초과	결합용기	#N/A
연월중	결핵	#N/A
연월말	결핵관리업무	#N/A
판매금액1)	결혼	#N/A
누적잔액2)	결혼기념	#N/A
적용금리3)	겸보	#N/A
금리적용기준일	겸업	#N/A
연월말	겸영	#N/A
기본재산	겸용	2637
보증승낙	겸용선	#N/A
보증해지	겸임	#N/A
보증잔액	겸직	#N/A
연월중	경간	#N/A
합계	경감	13350
종신형2)	경계	#N/A
혼합형3)	경계소송	#N/A
분기말	경고	#N/A
전국	경과	10168
서울	경과규정	6181
부산	경과이자	5237
대구	경과조치	3324
인천	경관	9359
광주	경기	1936
대전	경기경력	3443
울산	경기단체	8590
경기	경기도	906
강원	경기도가평군	498
충북	경기도고양시	12178
충남	경기도과천시	12173
전북	경기도광명시	10284
전남	경기도광주시	10195
경북	경기도구리시	971
경남	경기도군포시	943
제주	경기도김포시	10723
분기말	경기도남양주시	#N/A
상품명	경기도동두천시	#N/A
조기상환율    Prepayment	경기도부천시	#N/A
연체율    Delinquency	경기도성남시	#N/A
발행회차	경기도수원시	#N/A
발행일자	경기도시흥시	#N/A
가중평균	경기도안산시	324
1년	경기도안성시	#N/A
2년	경기도안양시	#N/A
3년	경기도양주시	#N/A
5년	경기도양평군	#N/A
7년	경기도여주군	#N/A
10년	경기도연천군	#N/A
15년	경기도오산시	#N/A
20년	경기도용인시	#N/A
MBB1)	경기도의왕시	#N/A
발행일	경기도의정부시	#N/A
발행금액	경기도이천시	#N/A
연·월말 MBB 잔액	경기도파주시	#N/A
가중평균 발행금리(%)	경기도평택시	#N/A
발행통화	경기도포천시	#N/A
구분	경기도하남시	2099
1년	경기도화성시	#N/A
2년	경기장	#N/A
3년	경기지도경력	#N/A
5년	경남	#N/A
7년	경내지	#N/A
10년	경대	#N/A
15년	경도	#N/A
20년	경량	#N/A
21년	경력	#N/A
21년	경력관리	#N/A
합계	경력사칭	13350
상품명	경력자	#N/A
조기상환율    Prepayment	경력자료	#N/A
연체율    Delinquency	경력직공무원	#N/A
MBS1)	경력평정	#N/A
발행일	경로	#N/A
트랜치	경륜	#N/A
발행금액	경리	#N/A
연·월말 MBS 잔액	경리관	#N/A
가중평균 발행금리(%)	경마	#N/A
상품명	경마장	#N/A
조기상환율    Prepayment	경매	#N/A
연체율    Delinquency	경매개시결정	#N/A
상품명	경매보증금	#N/A
발행회차	경매청약	#N/A
발행일자	경무	#N/A
가중평균	경미	324
1년	경범죄	#N/A
2년	경범죄처벌법	#N/A
3년	경보	#N/A
5년	경보기	#N/A
7년	경북	#N/A
10년	경비	#N/A
15년	경비	#N/A
20년	경비업	#N/A
SLBS1)	경비원	#N/A
발행일자	경비지도사	#N/A
트랜치	경사	#N/A
발행금액	경사관세	#N/A
연·월말 잔액	경사궤도	#N/A
가중평균 발행금리(%)	경사도	#N/A
구분	경사지	2099
1년	경사터널	#N/A
2년	경상	#N/A
3년	경상경비	#N/A
5년	경상남도	#N/A
7년	경상남도거제시	#N/A
10년	경상남도거창군	#N/A
15년	경상남도고성군	#N/A
20년	경상남도김해시	#N/A
21년	경상남도남해군	#N/A
합계	경상남도마산시	13350
연월중	경상남도밀양시	#N/A
10백만원이하	경상남도사천시	#N/A
20백만원이하	경상남도산청군	#N/A
30백만원이하	경상남도양산시	#N/A
40백만원이하	경상남도의령군	#N/A
50백만원이하	경상남도진주시	#N/A
60백만원이하	경상남도진해시	#N/A
70백만원이하	경상남도창녕군	#N/A
80백만원이하	경상남도창원시	#N/A
90백만원이하	경상남도통영시	#N/A
100백만원이하	경상남도하동군	#N/A
100백만원초과	경상남도함안군	#N/A
연월중	경상남도함양군	#N/A
10백만원이하	경상남도합천군	#N/A
20백만원이하	경상북도	#N/A
