필드명	행정표준용어	매칭결과
(NULL)	가슴	#N/A
(NULL)	가시광선	#N/A
(NULL)	가시선	#N/A
(NULL)	가시채널	#N/A
(NULL)	가압	#N/A
(NULL)	가압류	#N/A
(NULL)	가액	#N/A
(NULL)	가연성	#N/A
(NULL)	가연성가스	#N/A
(NULL)	가연성가스저온저장탱크	#N/A
(NULL)	가열	#N/A
서비스 인증키	가열응착	#N/A
정류장명검색	가열탈착	#N/A
정류장명	가옥	#N/A
정류장 한글 이름	가용	#N/A
정류장 표준 ID	가을	#N/A
정류장 서비스 ID	가입	#N/A
정류장 x 좌표	가입금	#N/A
정류장 y 좌표	가입비	#N/A
참고사항	가입수수료	#N/A
서비스 인증키	가입신청	#N/A
정류장번호검색	가입유형	#N/A
정류장번호	가입일	#N/A
정류장 한글 이름	가입일자	#N/A
정류장 표준 ID	가입자	#N/A
정류장 서비스 ID	가입자내부식별자	#N/A
정류장 x 좌표	가입자선로	#N/A
정류장 y 좌표	가입제한	#N/A
참고사항	가입해지	#N/A
서비스 인증키	가전	#N/A
정류장 아이디	가전제품	#N/A
저상버스(값:LOW)	가점	#N/A
노선번호	가접수	#N/A
노선ID	가정	#N/A
노선확장	가정	#N/A
노선방향	가정구성원	#N/A
분선ID	가정보호사건	#N/A
기점명	가정의례	#N/A
종점명	가정폭력	#N/A
버스대수	가정폭력범죄	#N/A
첫차시각	가정폭력행위자	#N/A
막차시각	가족	#N/A
평균소요시간	가족계획사업	#N/A
점두시배차간격	가족법	#N/A
비첨두시배차간격	가족어선원	#N/A
배차간격불규칙여부	가족제도	#N/A
서비스 인증키	가종료	#N/A
x좌표	가중	#N/A
y좌표	가중처벌	#N/A
쿼리갯수	가중치	#N/A
참고사항	가중평균	#N/A
정류장표준ID	가집행	#N/A
X좌표	가집행선고	#N/A
y좌표	가처분	#N/A
정류장 한글명칭	가축	#N/A
영문 생활분야 일련번호 입니다.	가축분뇨	#N/A
0이면 성공, 1이상이면 실패	가축전염병	#N/A
실패의 경우 원인을 기술한다.	가축통계조사	#N/A
각 항목의 유일번호 입니다.	가출	#N/A
각 항목의 상위번호(카테고리, 뎁스를 만들 때 쓰임) 입니다.	가출소	#N/A
생활분야의 일련번호 입니다.	가출인	#N/A
관심분야의 일련번호 입니다.	가치	#N/A
관심항목의 일련번호 입니다.	가치관	#N/A
관심규정일련번호	가치혁신	#N/A
각단계별(카테고리,뎁스) 이름 입니다.	가택수색	#N/A
각항목(카테고리, 뎁스) 구분자 입니다.	가트	#N/A
규정항목링크URL 주소입니다.	가해	#N/A
생활분야의 일련번호 입니다.	가해자	#N/A
관심분야의 일련번호 입니다.	가해학생	#N/A
관심항목의 일련번호 입니다.	가행광산	#N/A
관심규정의 일련번호(실졔값이 있음) 입니다.	가혹행위	#N/A
0이면 성공, 1이상이면 실패	가환부	#N/A
실패의 경우 원인을 기술한다.	각급	#N/A
항목규정 내용 입니다.	각급기관	#N/A
아이콘 이미지 URL 주소 입니다.	각급학교	#N/A
0이면 성공, 1이상이면 실패	각도	#N/A
실패의 경우 원인을 기술한다.	각령	#N/A
생활분야일련번호	각료	#N/A
생활법령 제목 입니다.	각목	#N/A
영문생활법령 분률별 설명 입니다.	각종	#N/A
(NULL)	각주	#N/A
(NULL)	각하	#N/A
(NULL)	각형	#N/A
(NULL)	각호	#N/A
(NULL)	간	#N/A
EMS 접수번호	간격	#N/A
취소내용	간담회	#N/A
EMS 접수번호	간부	#N/A
에러코드	간사	#N/A
에러명	간석지	#N/A
수령자전화번호 2	간선	#N/A
수령자전화번호 3	간선급행버스체계	#N/A
수령자전화번호 4	간소화	#N/A
국가 1	간염	#N/A
국가 2	간음	#N/A
국가 3	간이	#N/A
수령자 우편번호	간이공판절차	#N/A
수령자주소	간이법원	#N/A
내용품명	간이상수도	#N/A
개수	간이인도	#N/A
가격	간장	#N/A
중량	간접	#N/A
HS Code	간접교사	#N/A
생산지	간접비	#N/A
"상품견본
선물
상품
서류"	간접세	#N/A
"서류
비서류"	간접책임	#N/A
전체세관신고서건수	간주	#N/A
발송인 이름	간질	#N/A
신청자전화번호 1	간척	#N/A
신청자전화번호 2	간척지	#N/A
신청자전화번호 3	간첩	#N/A
신청자전화번호 4	간통죄	#N/A
이메일	간판	#N/A
신청자휴대전화 1	간행	#N/A
신청자휴대전화 2	간행물	#N/A
신청자휴대전화 3	간호	#N/A
신청자휴대전화 4	간호사	#N/A
신청자 우편번호	간호사무관	#N/A
신청자주소	간호조무사	#N/A
신청자상세주소	갈등	#N/A
"즉납(즉납으로 하드
코딩)"	갈수	#N/A
방문희망년	갈음	#N/A
방문희망월	감가	#N/A
방문희망일	감가비	#N/A
픽업시 특이사항	감가상각	#N/A
픽업장소	감가수정	#N/A
당일접수 가능여부	감각	#N/A
당일접수마감시간	감귤	#N/A
수령자 이름	감나무	#N/A
이메일	감독	#N/A
수령자전화번호 1	감독자	#N/A
접수번호	감동	#N/A
에러코드	감량	#N/A
에러명	감량화	#N/A
(NULL)	감리	#N/A
(NULL)	감리관리	#N/A
인코딩여부:default true	감리원	#N/A
"기본값 xml 형식
json로 할 경우 restMode=json"	감리자	#N/A
인증키	감리제도	#N/A
상세보기에서 [필수]	감면	#N/A
yyyy-MM-dd	감배	#N/A
yyyy-MM-dd	감봉	#N/A
제목, 내용, 주관, 주최, 입장료, 장소	감사	#N/A
(NULL)	감사관	#N/A
(NULL)	감사기관	#N/A
(NULL)	감사원	#N/A
(NULL)	감사인	#N/A
(NULL)	감사자	#N/A
(NULL)	감사책임자	#N/A
(NULL)	감산	#N/A
(NULL)	감소	#N/A
(NULL)	감소수량	#N/A
(NULL)	감소액	#N/A
환경설정값	감속	#N/A
"000:성공, 
001:실패"	감손	#N/A
(NULL)	감쇄	#N/A
(NULL)	감수	#N/A
(NULL)	감시	#N/A
(NULL)	감시권	#N/A
인증키	감시용	#N/A
상세보기에서 [필수]	감시원	#N/A
yyyy-MM-dd	감식	#N/A
yyyy-MM-dd	감압	#N/A
제목, 내용, 주관, 주최, 입장료, 장소	감압설비	#N/A
인코딩여부:default true	감액	#N/A
"기본값 xml 형식
json로 할 경우 restMode=json"	감염	#N/A
"000:성공, 
001:실패"	감염병	#N/A
(NULL)	감염성	#N/A
(NULL)	감염성폐기물	#N/A
(NULL)	감염증	#N/A
(NULL)	감원	#N/A
(NULL)	감자	#N/A
(NULL)	감자차액	#N/A
(NULL)	감점	#N/A
(NULL)	감정	#N/A
(NULL)	감정가	#N/A
(NULL)	감정가격	#N/A
(NULL)	감정사	#N/A
(NULL)	감정원	#N/A
(NULL)	감정인	#N/A
(NULL)	감정증인	#N/A
환경설정값	감정평가	#N/A
(NULL)	감정평가사	#N/A
시대코드	감정평가업	#N/A
조회 데이터의 총건수	감정평가업자	#N/A
소재지코드	감정허가장	#N/A
조회 데이터의 총건수	감지	#N/A
종목코드	감지기	#N/A
조회 데이터의 총건수	감차	#N/A
(NULL)	감찰	#N/A
(NULL)	감찰관	#N/A
"01-고창군
02-군산시
03-김제시
04-남원시
05-무주군
06-부안군
07-순창군
08-완주군
09-익산시
10-임실군
11-장수군
12-전주시
13-진안군
14-진안군"	감청	#N/A
결과코드	감청설비	#N/A
결과메시지	감축	#N/A
한 페이지 결과 수	감항능력	#N/A
페이지 번호	감항성	#N/A
전체 결과 수	감항증명	#N/A
(NULL)	감형	#N/A
(NULL)	감호	#N/A
(NULL)	갑근세	#N/A
(NULL)	갑문	#N/A
(NULL)	갑종근로소득세	#N/A
(NULL)	갑종사태	#N/A
(NULL)	갑판상부적재	#N/A
(NULL)	갑판하부적재	#N/A
(NULL)	값	#N/A
(NULL)	값영역	#N/A
(NULL)	갓길	#N/A
(NULL)	강간	#N/A
(NULL)	강구	#N/A
(NULL)	강도	#N/A
(NULL)	강도	#N/A
(NULL)	강력범죄	#N/A
(NULL)	강령	#N/A
(NULL)	강매	#N/A
(NULL)	강사	#N/A
(NULL)	강서	#N/A
(NULL)	강수	#N/A
(NULL)	강습	#N/A
(NULL)	강연	#N/A
(NULL)	강요	#N/A
(NULL)	강우	#N/A
(NULL)	강우계	#N/A
(NULL)	강우유출수	#N/A
(NULL)	강원	#N/A
가족구성원 수	강원도	#N/A
가구당 월소득	강원도강릉시	#N/A
가구소유 일반재산	강원도고성군	#N/A
가구소유 금융재산	강원도동해시	#N/A
가구소유 자동차 금액	강원도삼척시	#N/A
가구 부채	강원도속초시	#N/A
소득인정액	강원도양구군	#N/A
보육료지원기준 해당여부	강원도양양군	#N/A
정확한 지원대상계층 확인 요청 방법 제공	강원도영월군	#N/A
자치구 홈페이지 링크	강원도원주시	#N/A
(NULL)	강원도인제군	#N/A
Optional 필드	강원도정선군	#N/A
Optional 필드	강원도철원군	#N/A
(NULL)	강원도춘천시	#N/A
(NULL)	강원도태백시	#N/A
(NULL)	강원도평창군	#N/A
(NULL)	강원도홍천군	#N/A
(NULL)	강원도화천군	#N/A
(NULL)	강원도횡성군	#N/A
(NULL)	강의	#N/A
(NULL)	강의실	#N/A
(NULL)	강임	#N/A
List형	강전류전선	#N/A
(NULL)	강제	#N/A
(NULL)	강제경매	#N/A
(NULL)	강제보험	#N/A
(NULL)	강제징수	#N/A
(NULL)	강제처분	#N/A
(NULL)	강제투표	#N/A
(NULL)	강행법	#N/A
(NULL)	강화	#N/A
(NULL)	개간	#N/A
(NULL)	개관	#N/A
(NULL)	개념	#N/A
(NULL)	개도국	#N/A
(NULL)	개략	#N/A
(NULL)	개량	#N/A
(NULL)	개명	#N/A
Optional 필드	개문	#N/A
Optional 필드	개발	#N/A
(NULL)	개발도상국	#N/A
(NULL)	개발도상국가	#N/A
(NULL)	개발밀도관리구역	#N/A
(NULL)	개발부담금	#N/A
(NULL)	개발사업	#N/A
(NULL)	개발이익	#N/A
(NULL)	개발자	#N/A
(NULL)	개방	#N/A
(NULL)	개방형	#N/A
(NULL)	개방형직위	#N/A
(NULL)	개방화장실	#N/A
(NULL)	개별	#N/A
(NULL)	개별가구소득평가액	#N/A
(NULL)	개별공시지가	#N/A
(NULL)	개별납부서	#N/A
(NULL)	개별법	#N/A
(NULL)	개별연구개발사업	#N/A
(NULL)	개보수	#N/A
(NULL)	개산가격	#N/A
(NULL)	개산원가	#N/A
(NULL)	개서	#N/A
(NULL)	개선	#N/A
(NULL)	개설	#N/A
(NULL)	개설의뢰인	#N/A
(NULL)	개설일	#N/A
(NULL)	개설자	#N/A
(NULL)	개성공단	#N/A
(NULL)	개수	#N/A
(NULL)	개수	#N/A
Map형	개시	#N/A
(NULL)	개시전	#N/A
(NULL)	개업	#N/A
(NULL)	개연성	#N/A
(NULL)	개요	#N/A
(NULL)	개월	#N/A
(NULL)	개인	#N/A
(NULL)	개인과외교습자	#N/A
(NULL)	개인발명가	#N/A
(NULL)	개인부담금	#N/A
(NULL)	개인식별번호	#N/A
진행중=01	개인용컴퓨터	#N/A
(NULL)	개인위치정보	#N/A
(NULL)	개인위치정보주체	#N/A
(NULL)	개인정보	#N/A
(NULL)	개인정보화일	#N/A
(NULL)	개인퇴직계좌	#N/A
"제목=title
내용=content
처리기관명=ancName"	개인화기	#N/A
현재페이지번호	개임	#N/A
"페이지에 보여줄 목록의 개수 
기본10"	개입	#N/A
(NULL)	개입권	#N/A
(NULL)	개입의무	#N/A
(NULL)	개작	#N/A
(NULL)	개장	#N/A
(NULL)	개장	#N/A
(NULL)	개전	#N/A
(NULL)	개정	#N/A
(NULL)	개정안	#N/A
(NULL)	개조	#N/A
(NULL)	개찰	#N/A
(NULL)	개척	#N/A
(NULL)	개천	#N/A
List형	개청	#N/A
(NULL)	개청시간	#N/A
(NULL)	개체	#N/A
(NULL)	개체군	#N/A
(NULL)	개최	#N/A
(NULL)	개최국가	#N/A
(NULL)	개최시설	#N/A
(NULL)	개최시설상세정보	#N/A
(NULL)	개최지역	#N/A
(NULL)	개최회담	#N/A
(NULL)	개축	#N/A
(NULL)	개칭	#N/A
(NULL)	개통	#N/A
(NULL)	개통	#N/A
(NULL)	개통자	#N/A
(NULL)	개통지연	#N/A
(NULL)	개통희망일	#N/A
CLOB	개편	#N/A
(NULL)	개폐	#N/A
(NULL)	개폐소	#N/A
(NULL)	개표	#N/A
(NULL)	개표구	#N/A
(NULL)	개품운송계약	#N/A
(NULL)	개항	#N/A
표제한글명에서 검색	개항장	#N/A
결과메시지	개혁	#N/A
한 페이지 결과 수	개회	#N/A
페이지 번호	객관	#N/A
전체 결과 수	객관식	#N/A
표제아이디	객실	#N/A
표제한글명	객원교수	#N/A
위치 문자열	객차	#N/A
지도X좌표	객체	#N/A
지도Y좌표	갯벌	#N/A
사전구분	갯수	#N/A
사진경로 Large	갱생	#N/A
사진경로 Small	갱신	#N/A
계절편명	갱신자	#N/A
월영역명	갱입	#N/A
분야	갱출	#N/A
정의 내용	거대선	#N/A
사진 개수	거래	#N/A
음원 개수	거래가	#N/A
영상 개수	거래가격	#N/A
결과코드	거래건수	#N/A
표제한글명에서 검색	거래금액	#N/A
사진경로 Small	거래사례비교법	#N/A
분야구분	거래세	#N/A
월영역명	거래소	#N/A
분야	거래수량	#N/A
정의 내용	거래일	#N/A
사진 개수	거래자	#N/A
음원 개수	거래전	#N/A
영상 개수	거래조건	#N/A
결과코드	거래처	#N/A
결과메시지	거래형태	#N/A
한 페이지 결과 수	거래후	#N/A
페이지 번호	거리	#N/A
전체 결과 수	거목	#N/A
표제아이디	거버넌스	#N/A
표제한글명	거부	#N/A
위치 문자열	거부권	#N/A
지도X좌표	거북	#N/A
지도Y좌표	거소	#N/A
사전구분	거소지정권	#N/A
사진경로 Large	거시	#N/A
(NULL)	거절	#N/A
2014년 01월 01일	거절자	#N/A
2014년 01월 01일	거절증서	#N/A
역번호 1호선 101번역사 (판암역) 기타 역번호는 별첨 역명현황 참조	거점	#N/A
합계	거주	#N/A
결과코드	거주성	#N/A
결과메세지	거주자	#N/A
목록	거주지	#N/A
승하차일	거짓	#N/A
0시 이후 승하차인원수	거처	#N/A
05시~06시 승하차 인원수	거치	#N/A
06시~07시 승하차 인원수	거치관세율	#N/A
07시~08시 승하차 인원수	거치금액	#N/A
08시~09시 승하차 인원수	거치기간	#N/A
09시~10시 승하차 인원수	거치담보	#N/A
10시~11시 승하차 인원수	거치보험	#N/A
11시~12시 승하차 인원수	건강	#N/A
12시~13시 승하차 인원수	건강가정	#N/A
13시~14시 승하차 인원수	건강가정사	#N/A
14시~15시 승하차 인원수	건강가정사업	#N/A
15시~16시 승하차 인원수	건강검사	#N/A
16시~17시 승하차 인원수	건강기능식품	#N/A
17시~18시 승하차 인원수	건강보험	#N/A
18시~19시 승하차 인원수	건국	#N/A
19시~20시 승하차 인원수	건국훈장	#N/A
20시~21시 승하차 인원수	건널목	#N/A
21시~22시 승하차 인원수	건당	#N/A
22시~23시 승하차 인원수	건립	#N/A
23시~00시 승하차 인원수	건물	#N/A
승차 : 1, 하차 : 2	건물군	#N/A
2015년 07월 22일	건물대지	#N/A
2015년 07월 22일	건물동	#N/A
21시~22시 승하차 인원수	건물번호	#N/A
22시~23시 승하차 인원수	건물유형	#N/A
23시~00시 승하차 인원수	건물주	#N/A
승차 : 0, 하차 : 1	건물호	#N/A
역번호 1호선 101번역사 (판암역) * 기타 역번호는 별첨1 역명현황 참조	건별	#N/A
* 승차권 종류는 별첨2 승차권 종류 참조	건설	#N/A
합계	건설공사	#N/A
결과코드	건설공사지원통합정보체계	#N/A
결과메세지	건설교통부	#N/A
목록	건설근로자	#N/A
승하차일	건설기계	#N/A
0시 이후 승하차인원수	건설기계관리법	#N/A
05시~06시 승하차 인원수	건설기계저당법	#N/A
06시~07시 승하차 인원수	건설기술	#N/A
07시~08시 승하차 인원수	건설기술용역	#N/A
08시~09시 승하차 인원수	건설기술자	#N/A
09시~10시 승하차 인원수	건설사업관리	#N/A
10시~11시 승하차 인원수	건설산업	#N/A
11시~12시 승하차 인원수	건설업	#N/A
12시~13시 승하차 인원수	건설업월평균임금	#N/A
13시~14시 승하차 인원수	건설업자	#N/A
14시~15시 승하차 인원수	건설용역업	#N/A
