필드명,필드길이,필드띄어쓰기,필드특수문자,필드특수문자수
결과메시지,5,0,No,0
한페이지 결과 수,9,2,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
기관코드,4,0,No,0
기관명,3,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한페이지 결과 수,9,2,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
사업유형대분류,7,0,No,0
시도 구분코드,7,1,No,0
"마을코드

33GR2023 : 강릉 대기리마을 33GR0001 : 강릉 모래내한과마을 33GR1015 : 강릉 복사꽃마을
33GR3035 : 강릉 학마을 33GR3037 : 강릉 한울타리마을 33GR3036 : 강릉 해살이마을
33GS2036 : 고성 동트는진등마을 33GS1020 : 고성 진부령흘리마을 33GS0005 : 고성 화진포마을
33DH0038 : 동해 심곡약천마을 33DH0037 : 동해 청정신흥마을 33SC0013 : 삼척 가시오가피마을",249,44,Yes,12
마을명,3,0,No,0
마을이속한시도명,8,0,No,0
"마을이속한시도코드
6420000  : 강원도
6410000  : 경기도
6290000, 6460000 : 광주광역시,전라남도
6470000, 6270000 : 대구광역시,경상북도
6480000,6260000,6310000 :
부산광역시,울산광역시,경상
남도
6450000  : 전라북도
6490000  : 제주도
6440000  : 충청남도
6430000  : 충청북도",195,25,Yes, 6460000 : 광주광역시
마을이속한구군명,8,0,No,0
"마을이속한구군코드
4160000 : 가평군
4200000 : 강릉시
3360000 : 강서구
4920000 : 강진군
5370000 : 거제시
5470000 : 거창군
5130000 : 경산시
5050000 : 경주시
5550000 : 계룡시
5200000 : 고령군
4340000 : 고성군
5420000 : 고성군
4780000 : 고창군
4880000 : 고흥군
4860000 : 곡성군
4500000 : 공주시
3630000 : 광산구
4840000",237,34,Yes,17
마을 구분코드,7,1,No,0
상품코드,4,0,No,0
상품명,3,0,No,0
상품등록일자,6,0,No,0
마을코드,4,0,No,0
마을명,3,0,No,0
상품 카테고리 코드,10,2,No,0
상품 코드,5,1,No,0
상품명,3,0,No,0
상품코드,4,0,No,0
상품카테고리코드,8,0,No,0
상품명,3,0,No,0
생산지명,4,0,No,0
상품의규격,5,0,No,0
상품가격,4,0,No,0
상품생산 마을명,8,1,No,0
이벤트금액(할인된금액)이 있으면 상품금액 대신 이금액이 표시됨,34,5,Yes,2
상품분류코드,6,0,No,0
판매가능여부,6,0,No,0
상품 분류 카테고리명,11,2,No,0
상품생산마을명,7,0,No,0
상품 분류 대 카테고리 명,14,4,No,0
상품 판매자명(배열값),12,1,Yes,2
이벤트금액(할인된금액)이 있으면 상품금액 대신 이금액이 표시됨,34,5,Yes,2
상품분류코드,6,0,No,0
상품명,3,0,No,0
생산자코드,5,0,No,0
상품생산지명,6,0,No,0
배송 금액,5,1,No,0
상품규격,4,0,No,0
"상품에 대한 
상세설명",10,1,No,0
상품의유통기한,7,0,No,0
배송소요일,5,0,No,0
상품거래제한조건,8,0,No,0
상품가격,4,0,No,0
반품가능여부(Y:가능),12,0,Yes,3
상품 원산지,6,1,No,0
상품 생산단체명,8,1,No,0
상품 생산마을코드,9,1,No,0
상품,2,0,No,0
상품코드,4,0,No,0
상품코드,4,0,No,0
이미지 일련번호,8,1,No,0
이미지 경로,6,1,No,0
이미지 용량,6,1,No,0
"상품파일유형
(I:이미지,M:동영상)",19,0,Yes,M:동영상)
"카테고리코드
010001 : 브랜드쌀
010004 : 친환경쌀
010006 : 현미
010007 : 보리/밀
010008 : 콩류/팥
010009 : 옥수수
010012 : 참깨/들깨
010013 : 블랙푸드
010017 : 찹쌀
010018 : 찹쌀현미
010019 : 친환경현미
010099 : 잡곡/혼합곡
020001 : 포도
020002 : 복숭아
020003 :   사과
020004 : 단감/
020005 : 감귤
020006 : 메론/모과
02",236,38,Yes,24
카테고리명,5,0,No,0
"대분류카테고리코드
010000: 농산물
020000: 수산물/축산물
030000: 농산가공식품
040000: 건강식품
050000: 화훼/특화상품",76,5,Yes,7
대분류카테고리명,8,0,No,0
"중분류카테고리코드
010000 : 쌀/잡곡
020000 : 과일/견과
030000 : 채소/산나물
040000 : 건어물/해조류
050000 : 생선/조개
060000 : 축산물/육가공
070000 : 김치/젓갈
080000 : 양념/장/식용유
090000 : 차/음료
100000 : 한과/간식
110000 : 인삼/건강식품
120000 : 화훼/묘목
130000 : 지역특화상품",200,26,Yes,26
중분류카테고리명,8,0,No,0
"소분류카테고리코드
010001 : 브랜드쌀
010004 : 친환경쌀
010006 : 현미
010007 : 보리/밀
010008 : 콩류/팥
010009 : 옥수수
010012 : 참깨/들깨
010013 : 블랙푸드
010017 : 찹쌀
010018 : 찹쌀현미
010019 : 친환경현미
010099 : 잡곡/혼합곡
020001 : 포도
020002 : 복숭아
020003 :   사과
020004 : 단감/
020005 : 감귤
020006 : 메론/모과",237,38,Yes,24
소분류카테고리명,8,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
서비스 인증키,7,1,No,0
정류장명검색,6,0,No,0
정류장명,4,0,No,0
정류장 한글 이름,9,2,No,0
정류장 표준 ID,9,2,No,0
정류장 서비스 ID,10,2,No,0
정류장 x 좌표,8,2,No,0
정류장 y 좌표,8,2,No,0
참고사항,4,0,No,0
서비스 인증키,7,1,No,0
정류장번호검색,7,0,No,0
정류장번호,5,0,No,0
정류장 한글 이름,9,2,No,0
정류장 표준 ID,9,2,No,0
정류장 서비스 ID,10,2,No,0
정류장 x 좌표,8,2,No,0
정류장 y 좌표,8,2,No,0
참고사항,4,0,No,0
서비스 인증키,7,1,No,0
정류장 아이디,7,1,No,0
저상버스(값:LOW),11,0,Yes,3
노선번호,4,0,No,0
노선ID,4,0,No,0
노선확장,4,0,No,0
노선방향,4,0,No,0
분선ID,4,0,No,0
기점명,3,0,No,0
종점명,3,0,No,0
버스대수,4,0,No,0
첫차시각,4,0,No,0
막차시각,4,0,No,0
평균소요시간,6,0,No,0
점두시배차간격,7,0,No,0
비첨두시배차간격,8,0,No,0
배차간격불규칙여부,9,0,No,0
서비스 인증키,7,1,No,0
x좌표,3,0,No,0
y좌표,3,0,No,0
쿼리갯수,4,0,No,0
참고사항,4,0,No,0
정류장표준ID,7,0,No,0
X좌표,3,0,No,0
y좌표,3,0,No,0
정류장 한글명칭,8,1,No,0
영문 생활분야 일련번호 입니다.,17,3,Yes,1
"0이면 성공, 1이상이면 실패",18,3,Yes,3
실패의 경우 원인을 기술한다.,16,3,Yes,1
각 항목의 유일번호 입니다.,15,3,Yes,1
"각 항목의 상위번호(카테고리, 뎁스를 만들 때 쓰임) 입니다.",36,7,Yes,6
생활분야의 일련번호 입니다.,15,2,Yes,1
관심분야의 일련번호 입니다.,15,2,Yes,1
관심항목의 일련번호 입니다.,15,2,Yes,1
관심규정일련번호,8,0,No,0
"각단계별(카테고리,뎁스) 이름 입니다.",23,2,Yes,6
"각항목(카테고리, 뎁스) 구분자 입니다.",24,3,Yes,6
규정항목링크URL 주소입니다.,16,1,Yes,1
생활분야의 일련번호 입니다.,15,2,Yes,1
관심분야의 일련번호 입니다.,15,2,Yes,1
관심항목의 일련번호 입니다.,15,2,Yes,1
관심규정의 일련번호(실졔값이 있음) 입니다.,24,3,Yes,3
"0이면 성공, 1이상이면 실패",18,3,Yes,3
실패의 경우 원인을 기술한다.,16,3,Yes,1
항목규정 내용 입니다.,12,2,Yes,1
아이콘 이미지 URL 주소 입니다.,19,4,Yes,1
"0이면 성공, 1이상이면 실패",18,3,Yes,3
실패의 경우 원인을 기술한다.,16,3,Yes,1
생활분야일련번호,8,0,No,0
생활법령 제목 입니다.,12,2,Yes,1
영문생활법령 분률별 설명 입니다.,18,3,Yes,1
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
EMS 접수번호,8,1,No,0
취소내용,4,0,No,0
EMS 접수번호,8,1,No,0
에러코드,4,0,No,0
에러명,3,0,No,0
수령자전화번호 2,9,1,No,0
수령자전화번호 3,9,1,No,0
수령자전화번호 4,9,1,No,0
국가 1,4,1,No,0
국가 2,4,1,No,0
국가 3,4,1,No,0
수령자 우편번호,8,1,No,0
수령자주소,5,0,No,0
내용품명,4,0,No,0
개수,2,0,No,0
가격,2,0,No,0
중량,2,0,No,0
HS Code,7,1,No,0
생산지,3,0,No,0
"상품견본
선물
상품
서류",10,0,No,0
"서류
비서류",5,0,No,0
전체세관신고서건수,9,0,No,0
발송인 이름,6,1,No,0
신청자전화번호 1,9,1,No,0
신청자전화번호 2,9,1,No,0
신청자전화번호 3,9,1,No,0
신청자전화번호 4,9,1,No,0
이메일,3,0,No,0
신청자휴대전화 1,9,1,No,0
신청자휴대전화 2,9,1,No,0
신청자휴대전화 3,9,1,No,0
신청자휴대전화 4,9,1,No,0
신청자 우편번호,8,1,No,0
신청자주소,5,0,No,0
신청자상세주소,7,0,No,0
"즉납(즉납으로 하드
코딩)",13,1,Yes,2
방문희망년,5,0,No,0
방문희망월,5,0,No,0
방문희망일,5,0,No,0
픽업시 특이사항,8,1,No,0
픽업장소,4,0,No,0
당일접수 가능여부,9,1,No,0
당일접수마감시간,8,0,No,0
수령자 이름,6,1,No,0
이메일,3,0,No,0
수령자전화번호 1,9,1,No,0
접수번호,4,0,No,0
에러코드,4,0,No,0
에러명,3,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
인코딩여부:default true,18,1,Yes,1
"기본값 xml 형식
json로 할 경우 restMode=json",34,5,Yes,1
인증키,3,0,No,0
상세보기에서 [필수],11,1,Yes,2
yyyy-MM-dd,10,0,Yes,2
yyyy-MM-dd,10,0,Yes,2
"제목, 내용, 주관, 주최, 입장료, 장소",25,5,Yes,7
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
환경설정값,5,0,No,0
"000:성공, 
001:실패",13,0,Yes,001:실패
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
인증키,3,0,No,0
상세보기에서 [필수],11,1,Yes,2
yyyy-MM-dd,10,0,Yes,2
yyyy-MM-dd,10,0,Yes,2
"제목, 내용, 주관, 주최, 입장료, 장소",25,5,Yes,7
인코딩여부:default true,18,1,Yes,1
"기본값 xml 형식
json로 할 경우 restMode=json",34,5,Yes,1
"000:성공, 
001:실패",13,0,Yes,001:실패
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
환경설정값,5,0,No,0
(NULL),6,0,Yes,2
시대코드,4,0,No,0
조회 데이터의 총건수,11,2,No,0
소재지코드,5,0,No,0
조회 데이터의 총건수,11,2,No,0
종목코드,4,0,No,0
조회 데이터의 총건수,11,2,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
"01-고창군
02-군산시
03-김제시
04-남원시
05-무주군
06-부안군
07-순창군
08-완주군
09-익산시
10-임실군
11-장수군
12-전주시
13-진안군
14-진안군",84,0,Yes,14
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
가족구성원 수,7,1,No,0
가구당 월소득,7,1,No,0
가구소유 일반재산,9,1,No,0
가구소유 금융재산,9,1,No,0
가구소유 자동차 금액,11,2,No,0
가구 부채,5,1,No,0
소득인정액,5,0,No,0
보육료지원기준 해당여부,12,1,No,0
정확한 지원대상계층 확인 요청 방법 제공,22,5,No,0
자치구 홈페이지 링크,11,2,No,0
(NULL),6,0,Yes,2
Optional 필드,11,1,No,0
Optional 필드,11,1,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
List형,5,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
Optional 필드,11,1,No,0
Optional 필드,11,1,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
Map형,4,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
진행중=01,6,0,Yes,1
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
"제목=title
내용=content
처리기관명=ancName",31,0,Yes,3
현재페이지번호,7,0,No,0
"페이지에 보여줄 목록의 개수 
기본10",19,3,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
List형,5,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
CLOB,4,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
표제한글명에서 검색,10,1,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
표제아이디,5,0,No,0
표제한글명,5,0,No,0
위치 문자열,6,1,No,0
지도X좌표,5,0,No,0
지도Y좌표,5,0,No,0
사전구분,4,0,No,0
사진경로 Large,10,1,No,0
사진경로 Small,10,1,No,0
계절편명,4,0,No,0
월영역명,4,0,No,0
분야,2,0,No,0
정의 내용,5,1,No,0
사진 개수,5,1,No,0
음원 개수,5,1,No,0
영상 개수,5,1,No,0
결과코드,4,0,No,0
표제한글명에서 검색,10,1,No,0
사진경로 Small,10,1,No,0
분야구분,4,0,No,0
월영역명,4,0,No,0
분야,2,0,No,0
정의 내용,5,1,No,0
사진 개수,5,1,No,0
음원 개수,5,1,No,0
영상 개수,5,1,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
표제아이디,5,0,No,0
표제한글명,5,0,No,0
위치 문자열,6,1,No,0
지도X좌표,5,0,No,0
지도Y좌표,5,0,No,0
사전구분,4,0,No,0
사진경로 Large,10,1,No,0
(NULL),6,0,Yes,2
2014년 01월 01일,13,2,No,0
2014년 01월 01일,13,2,No,0
역번호 1호선 101번역사 (판암역) 기타 역번호는 별첨 역명현황 참조,39,8,Yes,2
합계,2,0,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
목록,2,0,No,0
승하차일,4,0,No,0
0시 이후 승하차인원수,12,2,No,0
05시~06시 승하차 인원수,15,2,Yes,1
06시~07시 승하차 인원수,15,2,Yes,1
07시~08시 승하차 인원수,15,2,Yes,1
08시~09시 승하차 인원수,15,2,Yes,1
09시~10시 승하차 인원수,15,2,Yes,1
10시~11시 승하차 인원수,15,2,Yes,1
11시~12시 승하차 인원수,15,2,Yes,1
12시~13시 승하차 인원수,15,2,Yes,1
13시~14시 승하차 인원수,15,2,Yes,1
14시~15시 승하차 인원수,15,2,Yes,1
15시~16시 승하차 인원수,15,2,Yes,1
16시~17시 승하차 인원수,15,2,Yes,1
17시~18시 승하차 인원수,15,2,Yes,1
18시~19시 승하차 인원수,15,2,Yes,1
19시~20시 승하차 인원수,15,2,Yes,1
20시~21시 승하차 인원수,15,2,Yes,1
21시~22시 승하차 인원수,15,2,Yes,1
22시~23시 승하차 인원수,15,2,Yes,1
23시~00시 승하차 인원수,15,2,Yes,1
"승차 : 1, 하차 : 2",16,5,Yes,5
2015년 07월 22일,13,2,No,0
2015년 07월 22일,13,2,No,0
21시~22시 승하차 인원수,15,2,Yes,1
22시~23시 승하차 인원수,15,2,Yes,1
23시~00시 승하차 인원수,15,2,Yes,1
"승차 : 0, 하차 : 1",16,5,Yes,5
역번호 1호선 101번역사 (판암역) * 기타 역번호는 별첨1 역명현황 참조,42,9,Yes,3
* 승차권 종류는 별첨2 승차권 종류 참조,23,6,Yes,1
합계,2,0,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
목록,2,0,No,0
승하차일,4,0,No,0
0시 이후 승하차인원수,12,2,No,0
05시~06시 승하차 인원수,15,2,Yes,1
06시~07시 승하차 인원수,15,2,Yes,1
07시~08시 승하차 인원수,15,2,Yes,1
08시~09시 승하차 인원수,15,2,Yes,1
09시~10시 승하차 인원수,15,2,Yes,1
10시~11시 승하차 인원수,15,2,Yes,1
11시~12시 승하차 인원수,15,2,Yes,1
12시~13시 승하차 인원수,15,2,Yes,1
13시~14시 승하차 인원수,15,2,Yes,1
14시~15시 승하차 인원수,15,2,Yes,1
15시~16시 승하차 인원수,15,2,Yes,1
16시~17시 승하차 인원수,15,2,Yes,1
17시~18시 승하차 인원수,15,2,Yes,1
18시~19시 승하차 인원수,15,2,Yes,1
19시~20시 승하차 인원수,15,2,Yes,1
20시~21시 승하차 인원수,15,2,Yes,1
(NULL),6,0,Yes,2
1분기~4분기,7,0,Yes,1
"A=업황
B=매출액
C=수익성
D=인력사정",20,0,Yes,4
(NULL),6,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
현황/전망 구분코드,10,1,Yes,1
유원시설업,5,0,No,0
카지노업,4,0,No,0
호텔업,3,0,No,0
"호텔업_1,2,3급 호텔",15,1,Yes,5
호텔업_특급호텔,8,0,Yes,1
"A=업황
B=매출액
C=수익성
D=인력사정",20,0,Yes,4
A=업황,4,0,Yes,1
국제회의업,5,0,No,0
휴양업,3,0,No,0
현황/전망 구분,8,1,Yes,1
전체,2,0,No,0
여행업,3,0,No,0
여행업_일반여행업,9,0,Yes,1
여행업_국내여행업,9,0,Yes,1
여행업_국외여행업,9,0,Yes,1
1분기~4분기,7,0,Yes,1
1분기~4분기,7,0,Yes,1
"I=국내
O=해외",8,0,Yes,2
